"query","search interest","increase percent"
"f1 2023",3,"Breakout"
"f1 2024",3,"Breakout"
"f1 2025",3,"Breakout"
"f1 2026",1,"Breakout"
"formula 1 2023",1,"Breakout"
"formula 1 2024",0,"Breakout"
"calendario f1 2023",0,"Breakout"
"calendario f1 2022",0,"Breakout"
"calendario f1 2024",0,"Breakout"
"f1 2022",4,"Breakout"
"formula 1 2022",1,"Breakout"
"f1 calendar 2022",0,"Breakout"
"f1 las vegas",1,"4,700%"
"las vegas f1",1,"4,450%"
"f1 sprint",1,"3,000%"
"f1 miami",1,"1,550%"
"lego f1",1,"700%"
"f1 movie",1,"400%"
"f1 tijden",1,"400%"
"f1 hoy",1,"300%"
"fórmula 1 classificação",0,"250%"
"f1 race today",0,"250%"
"gp monaco",0,"250%"
"carrera f1",1,"250%"
"lando norris",0,"200%"
"f1 horarios",1,"190%"
"f1 driver standings",0,"180%"
"horarios f1",1,"180%"
"f1 vandaag",0,"170%"
"f1 hoje",0,"170%"
"f1 standings",2,"170%"
"formule 1 tijden",0,"170%"
"f1 schedule",3,"170%"
"george russell",0,"160%"
"checo perez",0,"160%"
"next f1 race",0,"150%"
"formula 1 hoy",1,"140%"
"f1 classificação",0,"140%"
"f1 results today",0,"140%"
"f1 tickets",1,"140%"
"f1 horario",1,"140%"
"f1 heute",0,"140%"
"f1 points",0,"130%"
"f1 clasificacion",1,"130%"
"f1 vote",0,"130%"
"f1 race time",0,"120%"
"f1 tv pro",0,"120%"
"horario f1",1,"120%"
"clasificacion f1",1,"120%"
"f1 race",3,"120%"