"Time","Red Bull Racing"
"2021-05-01",37
"2021-06-01",49
"2021-07-01",44
"2021-08-01",31
"2021-09-01",34
"2021-10-01",45
"2021-11-01",43
"2021-12-01",84
"2022-01-01",31
"2022-02-01",59
"2022-03-01",71
"2022-04-01",51
"2022-05-01",54
"2022-06-01",50
"2022-07-01",58
"2022-08-01",45
"2022-09-01",49
"2022-10-01",97
"2022-11-01",49
"2022-12-01",25
"2023-01-01",25
"2023-02-01",63
"2023-03-01",68
"2023-04-01",37
"2023-05-01",42
"2023-06-01",43
"2023-07-01",61
"2023-08-01",32
"2023-09-01",51
"2023-10-01",46
"2023-11-01",51
"2023-12-01",33
"2024-01-01",27
"2024-02-01",91
"2024-03-01",93
"2024-04-01",57
"2024-05-01",50
"2024-06-01",40
"2024-07-01",48
"2024-08-01",33
"2024-09-01",46
"2024-10-01",44
"2024-11-01",51
"2024-12-01",81
"2025-01-01",32
"2025-02-01",38
"2025-03-01",100
"2025-04-01",67
"2025-05-01",51
"2025-06-01",51
"2025-07-01",93
"2025-08-01",57
"2025-09-01",59
"2025-10-01",60
"2025-11-01",65
"2025-12-01",95
"2026-01-01",78
"2026-02-01",55
"2026-03-01",79
"2026-04-01",49
"2026-05-01",47